	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
SD_QD_2023_07_80_ultra_bin_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_3	0	1.134665012	0	0	0	0	0	0	0	0	0	0	0	0	0	1.011560788	0	0	0	0	0	0	0	0	0	0	0	0	0.963215568	1.680912115	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_7	0	1.623217141	0	0.932635982	0	0	0	0.732631376	0	0	0	1.630177574	0	1.115875961	0.983474451	2.169114591	1.774906788	0.937899115	0	1.003437131	0	0	0	1.024695583	0	0	0	1.287856735	1.877384686	2.215880393	1.151544116	0.844727569	0	0	0	0
ZJ_NB_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_10	0	0.87198651	0	0	0	0	0	0.845476453	0	1.176442813	1.673828529	0.956594204	0	0	0	4.425822442	2.466501246	0	0	3.128266157	1.034195714	0	0	0	0.937832412	2.276007648	1.575191515	1.616319063	4.028984328	8.370338762	6.025356394	1.671133105	4.460818405	3.315789704	3.525035644	4.717143744
LN_DD_2021_06_15_bin_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_4	0	1.231940081	0	0	0	0.994268251	0	0	0	2.064357929	2.299784885	1.612424907	0	0	0	3.38803404	2.477951277	0	0	3.578873348	1.334124793	0	0	0	0	1.605737408	0	0	2.724655697	4.11952781	4.549443282	0.89490341	1.198619558	1.328713262	1.55156845	0
ZJ_NB_2021_05_15_bin_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	1.622470051	0	0	0	2.275201748	0	0	0	0	0	0	0	0	0	0	0	0	1.424600985	0	0	0	0	0.970916332	0	0
JS_LYG_2021_05_15_bin_5	0	1.017986923	0	0.764740637	0	0	0	0	0	0	0	0.973687605	0	0	0	1.074973226	1.033558045	0	0	0	0	0	0	0	0	0	0.975607954	0	1.068500954	0.905292702	0	0.799570759	0	0	0	0
JS_YC_2021_05_15_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_13	0	2.169646975	1.226862823	1.171726037	1.118462212	1.358401956	1.131418823	1.588495416	1.072119994	1.795243092	1.748179855	4.391166489	1.402071145	1.320783393	2.453647354	4.356655289	3.415846834	1.631302053	0	2.243243124	1.136675403	0	0	0.999378443	0.970156552	0.951811675	1.209434935	2.538617048	4.286446414	4.109209138	2.591631956	1.639728879	2.401820142	2.870918518	2.152158603	1.863219789
SD_QD_2020_06_15_bin_41	0	1.14948415	1.006583723	0	0	0	0	0	1.023295538	1.018582353	0.979395086	3.760998271	0	1.357745282	2.640678919	5.518723106	2.95671872	0.93674689	0	0	0	0	0	0	0.975089721	0	0	0	3.735563472	3.013161367	1.006660886	0	1.303849587	1.590110896	1.010605309	0
SD_QD_2023_07_100_ultra_bin_9	1.29966557	2.394758951	1.407365067	1.540858748	1.633678433	1.369252973	2.106584305	1.909521935	1.369442518	1.36494774	2.160817353	4.399503932	2.715655071	2.607114005	2.69275683	3.412104841	3.537476086	2.367069634	1.471100852	1.857255829	1.600273647	1.264726792	0.902388855	1.848690779	1.059134578	1.219775106	1.891951316	1.785149529	3.456093239	3.604714292	2.185765795	1.742930297	2.028026146	2.222806613	1.699658267	1.38760769
SD_QD_2023_07_20_normal_bin_3	0	1.292627627	0	0.840068073	0	0.974539655	0	1.046087047	0	0.952236981	1.064140336	3.213605734	1.025449244	0	1.022631675	2.930032689	1.735081377	1.011834588	0	1.000960779	0	0	0	0	0	0	0	1.424440237	2.09464285	3.098073647	1.495693206	1.209616181	1.323465378	1.309270103	1.449483011	1.170556969
SD_QD_2023_07_80_ultra_bin_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
